Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total
75019,,,,4,,1,3,,,3,6,3,4,11,,1,5,,1,,17,,16,16,,,,2,,5,,,6,8,,,,1,5,,,,,,,2,3,,3,1,1,1,,,1,,,,,,,1,,,,,2,,,2,,23,,,5,3,6,,,,,210,81,38,89,,4,6,,2,1,3,,,,3,2,7,,,618
75020,,,,,,,,,,,1,,,,,,,,,,2,,2,1,,,,,,,,1,8,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,3,3,1,1,,,,,,,,,,,,,,,,30
75021,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,2,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,8
75022,1,,,6,1,,2,,,4,6,2,1,2,3,3,1,,2,,6,,13,13,,,,4,,1,,,4,4,,,1,,3,,,,,1,,,1,,1,1,1,,,,1,,,,,,,,1,,,,,,,1,,21,,,2,2,6,1,,,,128,80,35,55,1,,6,,1,,1,,,,1,1,6,,,438
75023,,,,1,,1,1,,,3,3,,1,5,1,,4,1,1,,5,1,23,6,,,,4,,5,,1,8,1,,,,1,1,,,,,,,,2,,1,1,,1,,,,,,,1,,,,,,,,,3,1,2,,27,,,1,2,,,,,,75,26,9,21,,4,6,,2,2,4,,,,,1,1,,,271
75024,,1,,10,1,2,2,,,3,11,,3,5,5,1,11,,,1,9,,15,8,,,,5,1,,,1,7,5,,1,,,6,,,,,1,,,4,,1,1,,,,1,1,,,,,1,,1,,1,,,1,,1,,,27,,,5,4,7,,,,,268,86,54,91,1,3,34,,11,,6,,,,,2,4,,,731
75025,,1,,3,,1,,,,3,12,,1,5,5,2,5,,,,8,1,25,5,,,,6,,4,,2,8,4,,,,,12,,1,1,,,,,4,,2,,,,,,,,,,,1,1,3,,,,,,1,,1,,32,,,7,4,1,,2,,,241,68,27,100,,4,8,,4,1,4,2,,,1,1,6,,,641
75028,,,,4,,2,4,,,6,8,,2,9,1,1,3,1,1,,19,2,22,7,,,,5,,10,,,12,6,,,,,2,,,1,,1,,1,7,,3,,1,,1,,,,,,,,,,,1,,,,2,,1,,24,2,,3,4,2,,1,,,151,55,18,55,,3,5,1,,,2,,1,,1,,6,,,480
75029,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75032,,,,2,1,1,,,,2,1,,2,5,2,,1,,3,1,6,1,9,8,,,,1,,3,,,6,8,,1,1,,2,,,,,,,,6,1,1,1,,1,,,4,,,,,,,,,,,,,1,,,,6,,,2,4,8,,,,,66,43,26,27,,1,6,,,1,3,,,,,,1,,,276
75033,,,,4,,2,4,,,5,5,1,4,3,3,1,9,,,,5,,12,5,,,,2,,3,,,9,8,,,1,,10,,,,,,,1,9,1,,,1,1,,,,,,,1,2,,1,,2,,,,1,,,,12,2,,6,3,8,,,,,191,90,51,111,1,3,2,1,4,1,3,,,,,3,4,,,612
75034,3,1,1,10,2,3,3,,,9,16,1,4,8,8,2,21,,,,5,2,14,10,,,,2,1,4,,2,9,8,,,,,7,,,,,,,1,14,,2,1,,,,,3,,,,,1,,1,,,,,2,,,,,30,2,,7,8,23,,,,,260,143,79,121,1,7,12,,2,2,5,,1,,1,1,13,,,899
75035,1,,,18,,3,3,,,8,20,2,6,10,4,2,21,,1,1,20,1,33,22,,,,7,,5,,1,12,16,,,,,8,,3,,,1,,1,10,,,,,1,,,2,,,,1,,,1,,,,,2,3,,2,,49,2,,5,3,9,,,,,510,133,92,219,3,12,18,,2,4,9,1,,,3,2,5,,,1333
75036,2,,,4,1,,1,,,4,6,1,2,5,,1,3,,1,,4,,7,3,,,,2,,,,,3,8,,,1,,4,,,,,,,,3,,,1,,,,,1,,,,,,,,,,,,,,,1,,5,,,5,2,2,,,,,197,33,40,103,,1,9,,1,,5,1,,,,,9,,,482
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75038,2,,,,,,1,,,,2,,1,2,2,,2,,,,8,,4,174,,,,1,1,3,,,,1,,,,,2,,,,,,,,1,,11,,,,,,,,,,,1,,,,,,,,,,,,11,70,,3,1,9,,,,,49,21,16,27,,,1,,1,,1,,,,,,2,,,431
75039,,,,3,,,,,,7,7,,3,,2,2,4,1,1,1,1,,13,6,,,,2,1,,,,2,3,,,,,2,,,,,,,,2,,1,,,,1,1,,,,,,1,,,,,,,,1,,2,,7,,,5,,3,,,,,136,44,25,48,1,1,6,,1,,1,,,,,2,1,,,351
75040,,,,1,,,,,,,,,1,3,,,3,,,,7,1,15,2,,,,1,,1,,,4,,,,,,3,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,1,,,41,8,,6,,2,1,,2,,3,,,,,,,,,120
75041,,,,,,,,,,,,,,2,1,,,,1,,1,,1,2,,,,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,4,1,1,2,,,1,,,,,,,,,,,,,24
75042,,,,,,,,,,,,,2,,,,,,,,,,5,1,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,12,5,,5,,1,4,,,,,,,,,,,,,42
75043,1,,,,,,,,,,1,,1,4,,,,1,1,,6,,6,4,,,,1,,3,,,2,1,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,5,,,,,2,,,,,32,12,5,20,,1,2,,,,1,,,,,,1,,,118
75044,,,,5,,,,,,1,2,,3,2,3,,1,,,1,5,,14,2,,,,3,,3,,,4,3,,,,,4,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,1,,,14,,,1,,1,,,,,88,16,10,22,,,7,1,,,2,,,,2,,1,,,225
75045,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,2,,,1,,,,,,,2,1,,2,,,,4,,10,3,,,,2,,,,,1,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,51,13,8,20,,2,4,,2,,1,,,,,1,,,,145
75050,,,,,,,1,,,1,1,,,3,,,,,,,4,,9,,,,,2,,2,,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,2,,,,,,,17,13,5,1,,,1,,,,,,,,,,,,,74
75051,,,,1,,,2,,,,1,,3,4,,,1,,,,,,4,,,,,,,3,,,9,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,3,,,1,1,,,,,,16,14,7,11,,1,2,,,1,,,,,,,1,,,91
75052,,,,1,,,,,,12,5,,1,2,4,,2,1,1,,7,1,14,3,,,,1,,3,,1,7,,,,,,1,,,1,,,,,4,,,,,1,,,,,,,,1,,,,,,,,,,1,,16,,,1,,1,,3,,,87,26,12,26,,,7,,,,3,,,,,,,,,257
75054,,,,1,,,,,,2,2,,,1,3,,2,,,,,,6,4,,,,,,1,,1,2,1,,,,,2,,,,,,,,3,,1,1,,,,,,,,,,,,2,,,,,,,,,,10,,,,1,,,,,,48,18,17,26,,,1,,,1,1,1,,,,,,,,159
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75056,1,,1,1,,1,,,,4,8,2,2,4,4,,4,1,1,,12,1,28,14,,,,2,,7,,,6,15,,1,1,,2,,,,,,,1,5,,1,1,,,1,,2,,,,,1,,,,,,,1,,,2,,26,,,3,3,11,,3,,,212,69,51,123,,2,6,,2,,5,,,,2,3,5,,,664
75057,,,,,,,,,,1,1,,,1,1,,,,,,1,,2,,,,,,,,,,3,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,9,5,1,5,,,1,,1,,1,,,,,,,,,44
75058,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,5,,5,,,1,,,,,,,,,,,,,23
75060,,,,,,,,,,1,1,,,3,,1,,,,,5,,6,,,,,1,,1,,,1,,,,,,1,,,,,2,,,1,,,1,1,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,22,5,4,13,,,5,,,,,,,,1,,,,,81
75061,,,,,,,1,,,1,2,,,1,,,1,,1,,1,,7,,,,,,,1,,,1,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,13,7,2,9,,,2,,1,,,,,,,,,,,61
75062,,,,,,,1,,,2,2,,1,,,,2,,,,6,,8,3,,,,1,,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,1,,,,1,1,1,,6,,,3,,2,,1,,,26,12,4,10,,1,,,,,2,,,,1,,2,,,106
75063,,,,2,1,2,2,,,7,6,,3,9,,3,8,1,1,,11,1,10,19,,,,6,,1,1,,2,3,,,,,4,,1,,,,,,5,,1,1,,,,,,,,,,1,,,,,,,,,,1,,57,2,,7,5,6,,,,,238,68,44,124,,3,10,,4,,6,,,,2,1,2,,,692
75065,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,2,,,2,2,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,14,10,3,5,,,,,,,,1,,,,1,,,,55
75067,,,,3,,,,,,1,,,3,,,,3,,,,11,,11,2,,,,2,,7,,1,8,3,,,,,5,,,,,,,,1,,2,,,,1,,,,,,1,1,,,,,,,1,,2,1,,14,,,1,,,,,,,67,23,7,21,,1,4,,1,1,,,,,,1,,,,211
75068,,,,3,,1,2,,,2,9,1,1,5,3,1,2,,1,,7,1,22,13,,,,5,,5,1,1,13,10,,,,,1,,,1,,,,,5,,3,,,,1,,,,,,,3,,1,1,,,,1,,1,,,20,1,,4,1,,1,,,,152,36,16,73,,2,4,,2,2,5,,,,3,2,4,,,455
75069,,,,2,,2,1,,,1,,,2,2,3,,1,,,,6,,13,,,,,3,,,,,3,1,,,1,,1,,,,,,,1,2,,,1,,1,,,1,,,,,,,,,,,,1,,,,,5,,,,2,2,,1,,,59,39,16,34,,,2,,2,,1,,,,1,1,1,,,215
75070,1,,,7,,3,1,,,8,6,,4,9,1,1,4,3,,2,20,,35,17,,,,3,2,8,,1,13,4,,,,,12,,,1,,,,1,8,,,2,,,,,1,,,,1,1,,1,,,,,,,,,,18,3,,4,1,6,,,,,219,70,27,105,,4,11,1,3,,4,,,,3,5,7,,,672
75071,,,,7,,,1,,,4,4,,4,6,4,,4,1,,,7,1,23,13,,,,4,1,6,,,12,8,,,,,12,1,,,,,,1,3,,2,1,,2,1,,3,,,,1,3,,1,1,1,,,,1,1,3,,13,,,5,2,2,,1,,,188,49,18,79,,,8,,,2,7,,1,,1,,6,,,530
75072,,,,5,,,,,,5,2,,2,9,3,1,3,,,1,6,,9,10,,,,3,,4,,,6,2,,,,,3,,,1,,1,,1,6,,1,,,1,,,,,,,,,,,,,,,,3,1,,,11,,,1,3,3,,,,,140,28,7,55,,1,7,,4,,1,,,,1,,6,,,357
75074,,,,3,,,,,,3,1,,,2,1,,3,,1,,6,1,20,1,,,,3,,6,,1,5,3,,,,,4,,,,,,,1,5,,,,1,,2,,1,,,,,1,,,,,,,,,1,4,,22,1,,,1,2,,,,,105,34,15,37,,1,6,,3,2,3,,,,,2,1,,,315
75075,,,,2,,,1,,,2,2,,3,3,1,1,5,1,1,,12,1,15,7,,,,3,,2,,,8,3,,,,,5,,1,,,,,,2,,,,,,1,,1,,,,,1,,,,,,,,,1,2,,25,1,,2,,,,,,,86,26,9,29,,2,9,,,4,1,,,,,,1,,,282
75076,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,4,6,1,5,,,,,,,1,,,,,,,,,28
75077,1,,,1,,,2,,,1,,,4,3,,,6,,,1,7,1,11,7,,,1,4,,,,,9,6,,,,,1,,,,,,,3,4,,,,,,,,1,,,,,,,,,1,,,,,,2,,9,,,,,1,,,,,87,39,21,36,,,7,,,,,,,,,3,2,,,282
75078,,1,,9,,1,3,,,4,6,,3,3,1,1,5,,1,,11,,15,15,,,,2,,2,,1,8,6,,,1,,5,,,,,,,1,7,,1,,,,1,,,,,,,,,1,,,,,,,,1,,12,2,,2,2,6,,,,,158,71,44,86,1,5,3,,1,1,10,2,,,1,3,10,,,536
75080,,,,1,,1,2,,,1,,,1,6,1,1,2,,1,,12,1,24,12,,,,2,,6,,2,6,1,,,,,4,,,,,,,,4,,2,1,,,1,,,,,,1,,,,1,,,,,3,,1,,23,1,,2,,3,,1,,,87,19,14,34,1,2,6,1,2,1,2,1,1,,1,4,4,,,311
75081,,,,1,,,1,,,4,,,1,2,1,,1,,1,,4,1,17,3,,,,1,,2,,,6,2,,,,,2,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,1,1,1,,19,,,,1,1,,,,,43,16,2,21,,,6,,1,,,,,,,1,,,,168
75082,,1,,2,1,,2,,,1,4,,5,5,,6,3,,,,5,,16,6,,,,2,1,6,,,5,3,,,,,4,,,,,,,3,1,,,1,,,1,,,,,,,1,,,,3,,,,,,2,,15,,,3,,,,,,,115,36,13,53,,1,10,,1,,2,,,,1,1,4,,,345
75083,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75084,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75087,,,,3,,,1,,,1,2,,1,1,,1,5,,1,1,12,,15,7,,,,1,,2,,,4,4,,,2,,2,,,,,,,2,11,,1,1,,,,,2,,,,,,,1,,,,,,1,,,,7,,,1,,,,,,,64,23,6,21,,2,11,,1,,,,,,,2,1,,,224
75088,,,,1,,,2,,,2,,,2,,,,1,,1,,2,1,5,3,,,,1,,1,,,4,2,,,,,2,1,,,,,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,6,,,1,,,,,,,29,17,7,17,,1,4,,1,,1,,,,,,1,,,120
75089,1,,,,,,,,,,2,,1,1,,1,2,,,,8,,11,9,,,,1,,1,,,5,1,,,,,,,,,,,,,3,,,,,1,,,,,,,,1,,,,,,,,1,,,,3,,,,,,,,,,38,11,2,21,,2,2,,2,,3,1,,,1,,,,,136
75090,,,,,,,,,,1,1,,,,,,,,,,1,,6,,,,,1,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,3,1,,,1,1,,1,,1,,,,,,,,,29
75092,,,,,,,,,,1,1,,,,1,,,,,,4,,3,,,,,,,,,,3,2,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,20,5,1,6,,,4,,1,,1,,,,,,1,,,62
75093,1,2,,3,,1,2,,,2,12,1,4,6,7,5,9,,,,13,,17,13,,,,2,,2,,,11,3,,,,,3,,,,,,,,6,1,,,,,,1,1,,,,,1,,,2,1,,,,,,2,,14,1,,13,8,12,,2,,,213,125,56,87,2,,10,1,3,,3,,,,4,2,6,,,696
75094,,,,2,,2,,,,2,5,,1,3,,,7,,,,6,1,10,3,,,,3,,2,,,1,2,,,,,6,,,,,,,1,,,,,,,,,1,,,,1,,,1,,,,,1,,,,,8,,,1,1,2,,,,,92,27,17,43,,1,4,,1,,2,,1,,,2,3,,,266
75098,,,,4,,1,,,,,2,1,3,6,1,,2,,,,10,3,21,8,,,,1,1,1,1,,13,5,,,2,,4,,1,,,1,,,6,,1,,,,,,,,,,,,,,,1,,,1,,1,1,,18,,,2,1,1,,1,,,96,26,6,40,,1,9,,2,,5,,,,1,1,,,,313
75102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75103,,,,,,,,,,1,,,,,,,,,,1,2,,2,1,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,1,,,,,,,,,,,,,19
75104,1,,,1,,1,,,,3,2,,3,1,3,1,1,1,2,,4,1,10,2,,,,4,,6,,,5,1,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,3,2,3,,2,,,39,32,11,13,1,,5,,,,,,,,,,1,,,175
75106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75109,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,2,,,,,,,,1,,,,,15
75110,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,2,1,,,,1,,,,,,,,,,,,,14
75114,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3
75115,,,,2,,,1,,,2,2,,1,2,1,,3,,,,3,,12,3,,,,1,1,,,,5,1,,,,,1,,,,,,,1,2,,,,,,1,,,,,,1,2,,1,,,,,,,,1,,2,,,1,1,,,,,,25,19,3,12,,,1,,,,2,,,,,,1,,,117
75116,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,4,1,,1,,,,,,,,,,,,,,,,11
