Zip Code,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford E-Transit,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hummer Hummer EV SUT,Hyundai Ioniq 5,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Santa Fe Plug In,Hyundai Sonata Plug In,Hyundai Tucson Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia EV6,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Sorrento Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Lincoln Corsair,Lucid Air,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes EQS,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Rivian R1T,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo C40 Recharge,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Workhorse E-GEN Van,Grand Total
75016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75019,,,,4,,1,3,,,3,9,4,3,10,,1,7,,1,,17,,17,18,,,,2,,4,,,,6,7,,,,1,5,,,,,,,,,2,4,,1,3,2,1,1,,,1,,,,,,1,1,,,,,2,,,3,,21,1,,5,3,7,,,,,224,85,37,109,,4,8,,3,1,3,,,,,3,2,12,,673
75020,,,,,,,,,,,1,,,,,,,,,,2,,2,1,,,,,,,,,1,8,,,,,,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,3,1,2,,,,,,,,,,,,,1,,,34
75021,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,7
75022,1,,,6,1,,2,,,5,6,2,1,3,3,3,3,,2,,6,,13,12,,,,4,,1,,,,5,4,,,1,,3,,1,,,,,1,,,1,,,1,1,1,,,,1,,,,,,,,1,,,,,,,1,,20,,,2,3,8,1,,,,132,80,37,61,1,,7,,1,,2,,,,,1,1,6,,459
75023,,,,2,,1,1,,,3,3,,1,5,,,4,1,1,,6,1,22,6,,,,4,,5,,,1,8,,,,,1,1,,,,,,,,,,2,,3,1,1,,1,,,,,,,1,,,1,,,,,,3,1,2,,27,2,,1,2,,,,,,76,27,10,22,,5,7,,2,2,4,,,,,,1,2,,283
75024,,1,,9,2,3,2,,,3,11,,3,4,5,1,14,,,1,7,,14,7,,,,4,1,,,,1,8,5,,1,,,6,,,,,,,1,,1,5,,,1,2,,1,,1,2,,1,,,1,1,1,,1,,,1,,1,,,28,,,5,3,9,,,,,275,96,56,96,1,3,50,,11,,6,,,,,,3,4,,780
75025,,1,,3,1,1,,,,3,12,,1,5,5,2,5,,,,8,1,25,5,,,,7,,3,,,2,8,4,,,,,13,,,,,1,,,,,5,,,2,,,,,,,,,,,1,1,3,,,,,,1,,1,,31,1,,7,4,1,,2,,,251,68,27,110,,3,10,,4,1,4,,2,,,1,2,6,,665
75028,,,,5,1,2,4,,,7,10,,2,9,1,1,3,1,2,,19,2,22,6,,,,5,,10,,,,11,8,,,,,2,,,,,1,,1,,1,9,,1,3,,1,,1,,,,,,,,1,,,1,,,,2,,1,,26,3,,3,4,2,,,,,160,55,19,64,,3,5,1,,,2,,,1,,2,,6,,512
75029,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75032,,,,2,1,1,,,,2,1,,2,5,1,,2,,3,1,6,1,9,8,,,,1,,3,,,,6,9,,1,1,,2,,,,,,,,,,7,1,,1,1,,1,,,4,,,,,,,,,,,,,1,,,,7,1,,2,4,6,,,,,65,45,27,31,,1,6,,,1,3,,,,,,,1,,284
75033,,,,4,,2,3,,,5,6,1,5,3,3,1,7,,,,5,,13,8,,,,2,,3,,,,9,8,,,1,,10,,,,,,,,,1,10,1,,,,1,2,,,1,,,,1,2,,1,,2,,,,1,,,,11,3,,6,4,8,,,,,195,97,54,128,1,3,3,1,4,1,5,,,,,,3,4,,653
75034,3,1,1,13,2,3,2,,1,11,16,1,4,8,8,2,21,,,,5,2,14,10,,,,2,1,4,,,2,9,9,,,,,8,,,,,,,,,3,17,,,2,1,,,,,3,,,,,1,2,1,,,,,1,1,,,,32,2,,8,7,20,,,,,272,151,82,140,1,8,12,,4,3,5,,,1,,1,1,14,,959
75035,1,,,17,,3,3,,,7,19,2,6,10,5,2,25,,1,1,19,1,34,26,,,,7,,5,,,1,12,18,,,,,8,,1,,3,,,1,,1,11,,2,2,1,,2,,,3,,,,1,1,3,1,,,,,2,4,,4,,52,3,,5,3,12,1,,,,536,134,91,264,2,12,19,,2,5,9,,1,,,3,2,6,,1438
75036,2,,,4,1,,1,,,5,6,1,3,5,,1,4,,,,5,,8,4,,,,2,,,,,,4,8,,,,,4,,,,,,,,,,3,,1,,1,,,,,1,,,,,,,,,,,,,,,1,,5,1,,5,3,1,,,,,205,37,43,118,,1,9,,2,,7,,1,,,,,9,,522
75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75038,1,,,,,,1,,,,2,,2,2,3,,2,,,,8,,4,194,,,,1,1,3,,,,,1,,,,,1,,,,,,,,,,2,,,11,,,,,,,,,,,1,,,,,,,,,,10,,11,70,,2,1,11,,,,,51,22,17,30,,,1,,1,,1,,,,,,,1,,469
75039,,,,3,,1,,,,9,5,,3,,2,1,4,1,1,1,1,,15,6,,,,2,1,,,,,2,4,,,,,2,,1,,,,,,,,2,,,1,,,,1,1,1,,,,,1,,,,,,,,1,,2,,6,,,5,,3,,,,,138,46,25,63,1,1,6,,1,,2,,,,,,2,1,,375
75040,,,,1,,,,,,,1,,1,3,,,3,,,,7,1,16,2,,,,1,,1,,,,4,,,,,,3,,,,,1,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,1,,,45,9,,10,,2,1,,2,,4,,,,,,,,,135
75041,,,,,,,,,,,,,,2,2,,,,1,,2,,2,2,,,,2,1,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,4,1,1,2,,,1,,,,,,,,,,,,,30
75042,,,,,,,,,,,,,2,,,,,,,,,,4,1,,,,,,,,,,2,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,15,6,1,5,,1,4,,,,,,,,,1,,,,50
75043,1,,,,,,,,,,2,,1,3,,,,1,1,,5,,7,4,,,,1,,3,,,,3,2,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,4,,,,,2,,,,,40,12,5,20,,,4,,,,1,,,,,,,1,,128
75044,,,,5,,,1,,,1,2,,3,2,4,,1,,,1,5,,12,2,,,,2,,3,,,,3,3,,,,,4,,1,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,1,,,16,1,,1,,1,,,,,97,16,10,25,,,8,1,1,,2,,,,,2,,1,,242
75045,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75046,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
75048,1,,,2,,,1,,,,,,,2,1,,2,,,,4,,10,3,,,,2,,,,,,3,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,1,,,,,59,14,8,25,,2,4,,3,,1,,,,,,1,,,162
75050,,,,,,,1,,,1,2,,,2,,,,,1,,3,,9,,,,,2,,2,1,,,2,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,1,,,,,,,22,13,3,2,,,1,,,,,,,,,,,,,78
75051,,,,1,,,2,,,,2,,4,3,,,1,,,,2,,8,,,,,1,,2,,,,6,1,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,3,,,1,2,1,,,,,25,17,8,15,,1,3,,,1,,,,,,,,1,,116
75052,,,,,,,,,,12,6,,1,2,4,,2,1,1,,9,,13,4,,,,,,3,,,1,6,,,,,,1,,,,,1,,,,,6,,,2,,,1,,,,,,,,1,,,,1,,,,,,1,,16,1,,,,2,,3,,,95,28,12,31,,,6,,1,,3,,,,,,,,,277
75054,,,,2,,,,,,3,2,,,1,3,,2,,,,,,6,4,,,,,,1,,,1,2,1,,,,,2,,,,,,,,,,3,,1,2,1,,,,,,,,,,,,2,,,,,,,,,,11,,,1,1,,,,,,49,21,19,25,,,2,,,1,1,,1,,,,,,,171
75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
75056,1,,1,3,,1,,,,4,9,2,2,4,4,,4,1,1,,13,,28,14,,,,2,,7,,,,6,13,,,1,,2,,,,,,,,,1,6,,,1,1,,,1,,2,,,,,1,,,,,,,1,,,2,,25,1,,4,4,12,,3,,,225,71,52,140,,2,7,,2,,5,,,,,2,3,5,,702
75057,,,,,,,,,,1,1,,,,1,,,,,,1,,2,,,,,,,,,,,3,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,11,8,1,5,,,1,,1,,1,,,,,,,,,48
75058,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,5,1,5,,,1,,,,,,,,,,,,,22
75059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
75060,,,,,,,,,,1,1,,,1,,1,,,,,4,,6,,,,,1,,1,,,,1,,,,,,1,,,,,,,2,,,1,,,1,2,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,1,,,23,5,3,13,,,5,,,,,,,,,1,,,,79
75061,,,,,,,1,,,1,3,,,1,,,1,,1,,,,5,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,16,7,2,9,,,2,,1,,,,,,,,,,,63
75062,,,,,,,1,,,2,2,,1,1,,,2,,,,6,,8,3,,,,1,,2,,,,,2,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,1,,,,1,,1,,6,,,3,,2,,1,,,32,10,4,10,,1,1,,1,,2,,,,,1,,2,,115
75063,,,,5,1,2,2,,,8,6,,3,9,,4,9,1,1,,10,1,10,21,,,,6,,1,1,,,2,2,,,,,4,,,,1,,,,,,7,,,1,1,,1,,,,,,,,1,1,,,,,,,3,,1,,52,3,,8,5,7,,,,,243,67,45,146,,3,11,,6,,6,,,,,2,1,2,,733
75065,,,,,,,,,,,,,,,,,,,,,2,,5,,,,,,,2,,,,2,2,,,,,,,,,,,,,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,12,10,3,7,,,,,,,,,1,,,,1,,,57
75067,,,,3,,,,,,1,,,3,,,,3,,,,11,,10,2,,,,2,,7,,,1,8,4,,,,,5,,,,,,,,,,1,,,2,,,,1,,,,,,1,1,1,,,,,,1,,2,1,,13,,,1,,,,,,,77,24,8,26,,1,4,,1,1,,,,,,,2,,,229
75068,,,,3,,1,2,,,2,8,1,1,4,4,1,2,,1,,7,1,23,14,,,,5,1,5,1,,1,14,13,,,,,1,,,,,1,,,,,6,,1,3,,,,1,,,,,,,3,,1,1,,,,1,,1,,,21,3,,3,2,1,1,,,,167,37,18,81,,2,5,,2,2,5,,,,,3,2,4,,494
75069,,,,3,,4,1,,,1,1,,2,3,3,,1,,,,6,,12,,,,,3,,,,,,3,1,,,1,,1,,1,,,,,,,1,3,,,,1,,1,,1,1,,,,,,1,,,,,,1,,,,,6,,,,2,2,,1,,,63,42,17,35,,,2,,2,,1,,,,,1,1,1,,233
75070,1,,,5,,3,1,,,7,6,,3,9,2,1,6,3,,2,19,,35,17,,,,3,2,8,,,1,14,7,,,,,13,,1,,,1,,,,2,9,,,,1,,1,,,1,,,,1,1,1,1,,,,,,,,,,22,3,,5,1,5,,,,,231,74,26,118,,4,10,1,3,,4,,,,,3,4,7,,709
75071,,,,7,,1,2,,,6,4,,4,7,4,1,4,1,,,7,1,22,13,,,,4,1,6,,,,11,12,,,,,12,,,1,,,,,1,1,4,,2,3,1,,2,1,,2,,,,1,2,,,1,1,,,,1,1,3,,13,1,,5,2,3,,1,,,196,53,21,95,,,8,,2,2,9,,,1,,1,,6,,577
75072,,,,5,,,,,,5,4,,1,9,3,1,3,,,1,8,,8,11,,,,3,,4,,,1,6,4,,,,,4,,,,,1,,1,,1,6,,,1,,,1,,,,,,,,,,,,,,,1,3,1,,,15,,,1,3,3,,,,,143,35,8,62,,1,8,,4,,1,,,,,1,,6,,388
75074,,,,3,,,,,,3,1,,,2,1,,3,,1,,7,1,19,1,,,,3,,6,,,1,6,4,,,,,5,,,,,,,,,1,5,,,,,1,,2,,1,1,,,,1,,,,,,,,,1,3,,22,1,,,1,4,,,,,105,36,16,41,,1,6,,4,3,3,,,,,1,2,1,,330
75075,,,,2,,,1,,,2,3,,3,3,1,1,5,1,1,,13,1,15,9,,,,3,,2,1,,,7,4,,,,,5,,,,1,,,,,,1,,1,1,,,,1,,,,,,,1,,,,,,,1,,1,2,,26,2,,2,,,,,,,87,28,9,31,,2,9,,,4,2,,,,,,,1,,296
75076,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,5,5,1,5,,,,,,,1,,,,,,,,,27
75077,1,,,1,,,2,,,,,,4,4,,,6,,,1,7,1,11,7,,,,3,,,1,,,9,7,,,,,1,,,,,,,,,3,4,,1,,1,,,,,1,,,,,,,,,1,,,,,,2,,7,,,,,2,,,,,93,40,19,37,,,7,,,,,,,,,,3,2,,289
75078,,1,,11,,2,3,,,4,6,1,2,4,3,1,5,,1,,10,,14,15,,,,2,,2,,,2,8,8,,,1,,5,,1,,,,,,,1,10,,1,1,1,,1,1,,,,,,,,1,1,,,,,,,,1,,13,2,,3,2,8,,,,,169,80,50,95,1,4,5,,2,1,12,,2,,,1,2,11,,594
75080,,,,1,1,1,2,,,1,,,1,6,1,1,2,,1,,14,1,24,12,,,,2,,7,,,2,6,1,,,,,4,,,,,,,,,,4,,,2,1,,,1,,,,,,1,,,,1,,,,,3,,1,,21,3,,2,,2,,1,,,90,20,15,39,1,2,6,1,3,1,4,,1,1,,1,4,4,,327
75081,,,,,,,,,,4,1,,1,2,1,,1,,1,,4,1,16,2,,,,1,,2,,,,6,2,,,,,3,,,,,,,,,,3,,1,1,,,,,,,,,,1,,,,,,,,,1,1,1,,20,,,,2,2,,,,,45,15,2,22,,,6,,2,,,,,,,,1,,,174
75082,,1,,2,1,,2,,,1,3,,4,5,,4,3,,,,5,,17,7,,,,2,1,6,,,,5,3,,,,,4,,,,,,,,,3,2,,,2,1,,,1,,,,,,,1,,,,3,,,,1,,2,,16,1,,3,,,,,,,117,36,14,56,,1,10,,1,,2,,,,,1,1,4,,355
75085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75087,,,,3,,,1,,,1,3,,1,2,,1,5,,1,1,12,,16,6,,,,1,,2,,,,4,5,,,2,,2,,1,,,,,,,2,12,,,1,1,,,,,2,,,,,,,2,,,,,,1,,,,7,,,1,,1,,,,,70,27,6,25,,2,10,,1,,,,,,,,2,2,,245
75088,,,,,,,1,,,1,,,2,,,,1,,1,,2,1,5,3,,,,1,,1,,,,5,4,,,,,2,,,1,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,7,2,,1,,,,,,,35,18,7,17,,1,4,,1,,1,,,,,,,1,,130
75089,2,,,,,,,,,1,4,,1,1,,1,2,,,,7,,10,9,,,,1,,1,,,,6,1,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,1,,,,,,,,1,,,,5,,,,,,,,,,41,13,3,26,,2,2,,2,,3,,1,,,1,,,,152
75090,,,,,,,,,,1,1,,,,,,,,,,1,,6,1,,,,1,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,6,4,1,,,1,1,,1,,1,,,,,,,,,32
75092,,,,,,,,,,1,1,,,,1,,,,,,4,,3,1,,,,,,,,,,3,2,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,21,4,1,8,,1,4,,2,,1,,,,,,,1,,69
75093,1,2,,5,,1,1,,,2,12,1,4,6,7,5,8,,,,12,,17,13,,,,2,,2,,,,10,3,,,,,4,,,,1,,,,,,6,1,,1,,,1,1,1,1,2,1,,,1,,,2,1,,,,,,1,,13,1,,12,9,15,,2,,,224,132,56,94,1,,10,1,3,,4,,,,,5,2,6,,729
75094,,,,2,,2,,,,2,4,,1,3,,,7,,,,6,1,9,3,,,,3,,2,,,,1,2,,,,,6,,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,,,,,9,,,1,1,1,,,,,93,30,18,47,,1,5,,2,,2,,,1,,,2,3,,276
75098,,,,3,,1,,,,,4,1,2,6,1,,2,,1,,12,2,20,9,,,,1,1,1,1,,,14,5,,,2,,4,,,,1,,,1,,,8,,1,1,2,,,,,,,,,,,,,,1,,,1,,1,1,,24,,,1,1,1,,1,,,103,28,6,51,,1,9,,2,,5,,,,,1,1,,,346
75102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
75103,,,,,,,,,,1,,,,,,,,,,1,2,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,,,1,,,,,,,,,,,,,19
75104,1,,,1,,1,,,,3,3,,3,1,3,,1,1,3,,3,1,10,2,,,,3,,6,,,,4,2,,,,,1,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,5,1,,3,2,3,,2,,,40,30,10,15,1,,5,,,,,,,,,,,1,,175
75105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
